fetched from: https://autoconfig.thunderbird.net/v1.1/, enriched, updated at: 2024-05-11
domain;smtp_host:smtp_port,smtp_host:smtp_port,smtp_host:smtp_port;smtp_login_template
amail.plala.or.jp;amail.plala.or.jp:587;%EMAILLOCALPART%
abc.plala.or.jp;abc.plala.or.jp:587;%EMAILLOCALPART%
amber.plala.or.jp;amber.plala.or.jp:587;%EMAILLOCALPART%
agate.plala.or.jp;agate.plala.or.jp:587;%EMAILLOCALPART%
aqua.plala.or.jp;aqua.plala.or.jp:587;%EMAILLOCALPART%
bc.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
bay.wind.co.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.wind.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.gunmanet.ne.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bay.gunmanet.or.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
apost.plala.or.jp;apost.plala.or.jp:587;%EMAILLOCALPART%
ballade.plala.or.jp;ballade.plala.or.jp:587;%EMAILLOCALPART%
bay.wind.ne.jp;bay.wind.ne.jp:587;%EMAILLOCALPART%
bk.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
blue.plala.or.jp;blue.plala.or.jp:587;%EMAILLOCALPART%
bmail.plala.or.jp;bmail.plala.or.jp:587;%EMAILLOCALPART%
bolero.plala.or.jp;bolero.plala.or.jp:587;%EMAILLOCALPART%
bpost.plala.or.jp;bpost.plala.or.jp:587;%EMAILLOCALPART%
brown.plala.or.jp;brown.plala.or.jp:587;%EMAILLOCALPART%
bu.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
camel.plala.or.jp;camel.plala.or.jp:587;%EMAILLOCALPART%
bp.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
bb-niigata.jp;pop.bb-niigata.jp:25;%EMAILLOCALPART%
beige.plala.or.jp;beige.plala.or.jp:587;%EMAILLOCALPART%
cameo.plala.or.jp;cameo.plala.or.jp:587;%EMAILLOCALPART%
clio.ne.jp;mail.clio.ne.jp:587;%EMAILLOCALPART%
co1.wind.jp;co1.wind.ne.jp:587;%EMAILLOCALPART%
cmail.plala.or.jp;cmail.plala.or.jp:587;%EMAILLOCALPART%
co2.wind.jp;co2.wind.ne.jp:587;%EMAILLOCALPART%
co1.wind.ne.jp;co1.wind.ne.jp:587;%EMAILLOCALPART%
cocoa.plala.or.jp;cocoa.plala.or.jp:587;%EMAILLOCALPART%
coda.plala.or.jp;coda.plala.or.jp:587;%EMAILLOCALPART%
co2.wind.ne.jp;co2.wind.ne.jp:587;%EMAILLOCALPART%
co3.wind.jp;co3.wind.ne.jp:587;%EMAILLOCALPART%
cream.plala.or.jp;cream.plala.or.jp:587;%EMAILLOCALPART%
cty-net.ne.jp;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
dan.wind.co.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
concerto.plala.or.jp;concerto.plala.or.jp:587;%EMAILLOCALPART%
courante.plala.or.jp;courante.plala.or.jp:587;%EMAILLOCALPART%
dan.wind.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
cpost.plala.or.jp;cpost.plala.or.jp:587;%EMAILLOCALPART%
dan.gunmanet.or.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
dan.gunmanet.ne.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
co3.wind.ne.jp;co3.wind.ne.jp:587;%EMAILLOCALPART%
cty-net.com;smtps.cty-net.ne.jp:465;%EMAILADDRESS%
dan.wind.ne.jp;dan.wind.ne.jp:587;%EMAILLOCALPART%
dance.plala.or.jp;dance.plala.or.jp:587;%EMAILLOCALPART%
dd.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
coral.plala.or.jp;coral.plala.or.jp:587;%EMAILLOCALPART%
dmail.plala.or.jp;dmail.plala.or.jp:587;%EMAILLOCALPART%
ebony.plala.or.jp;ebony.plala.or.jp:587;%EMAILLOCALPART%
email.plala.or.jp;email.plala.or.jp:587;%EMAILLOCALPART%
flamenco.plala.or.jp;flamenco.plala.or.jp:587;%EMAILLOCALPART%
ff.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
fantasy.plala.or.jp;fantasy.plala.or.jp:587;%EMAILLOCALPART%
fuga.plala.or.jp;fuga.plala.or.jp:587;%EMAILLOCALPART%
e23.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
fmail.plala.or.jp;fmail.plala.or.jp:587;%EMAILLOCALPART%
gmail.plala.or.jp;gmail.plala.or.jp:587;%EMAILLOCALPART%
goo.jp;smtp.mail.goo.ne.jp:587;%EMAILLOCALPART%
go.tvm.ne.jp;go.tvm.ne.jp:25;%EMAILLOCALPART%
grape.plala.or.jp;grape.plala.or.jp:587;%EMAILLOCALPART%
hal.ne.jp;mail.hal.ne.jp:587;%EMAILLOCALPART%
gray.plala.or.jp;gray.plala.or.jp:587;%EMAILLOCALPART%
hana.or.jp;mail.hana.or.jp:587;%EMAILLOCALPART%
hh.iij4u.or.jp;mbox.iij4u.or.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
hotmail.co.jp;smtp.office365.com:587;%EMAILLOCALPART%
i.softbank.jp;smtp.softbank.jp:465;%EMAILADDRESS%
ic-net.or.jp;smtp.ic-net.or.jp:587;%EMAILLOCALPART%
iijmio-mail.jp;mbox.iijmio-mail.jp:587;%EMAILLOCALPART%.%EMAILDOMAIN%
inet-shibata.or.jp;po.inet-shibata.or.jp:25;%EMAILLOCALPART%
indigo.plala.or.jp;indigo.plala.or.jp:587;%EMAILLOCALPART%
